ProductKey,StoreKey,QuarterAndYear,Quarter,Year,CasesPurchasedToDate,CasesPurchasedThisQuarter,CasesOnHand,TotalCostToStoreThisQuarter,TotalSoldByStoreThisQuarter,TotalCostToStoreThisYTD,TotalSoldByStoreThisYTD
1,8,Q4 2024,4,2024,855,221,7,6603.48,2587.0,25547.4,10192.0
2,8,Q4 2024,4,2024,846,216,7,4639.68,2542.0,18172.08,10088.0
3,8,Q4 2024,4,2024,853,220,6,10533.6,2574.0,40841.64,10170.0
4,8,Q4 2024,4,2024,861,217,6,10389.96,2547.0,41224.68,10275.0
5,8,Q4 2024,4,2024,860,217,7,7785.96,2553.0,30856.8,10261.0
6,8,Q4 2024,4,2024,846,217,6,5208.0,2541.0,20304.0,10086.0
7,8,Q4 2024,4,2024,851,219,7,30458.52,2570.0,118357.08,10147.0
8,8,Q4 2024,4,2024,856,219,6,13113.72,2579.0,51257.28,10223.0
9,8,Q4 2024,4,2024,844,220,6,9477.6,2587.0,36359.52,10073.0
10,8,Q4 2024,4,2024,849,216,6,12415.68,2542.0,48800.52,10128.0
11,8,Q4 2024,4,2024,123,31,2,2600.28,363.0,10317.24,1451.0
12,8,Q4 2024,4,2024,855,219,6,2628.0,2572.0,10260.0,10200.0
13,8,Q4 2024,4,2024,854,220,7,6573.6,2590.0,25517.52,10189.0
14,8,Q4 2024,4,2024,859,224,6,8037.12,2631.0,30820.92,10251.0
15,8,Q4 2024,4,2024,849,215,7,7714.2,2521.0,30462.12,10121.0
16,8,Q4 2024,4,2024,850,216,6,9046.08,2547.0,35598.0,10155.0
17,8,Q4 2024,4,2024,856,223,6,10677.24,2623.0,40985.28,10219.0
18,8,Q4 2024,4,2024,853,218,6,9129.84,2572.0,35723.64,10184.0
19,8,Q4 2024,4,2024,125,31,1,930.0,370.0,3750.0,1479.0
20,8,Q4 2024,4,2024,856,215,7,7714.2,2529.0,30713.28,10212.0
21,8,Q4 2024,4,2024,854,222,7,19420.56,2609.0,74707.92,10192.0
22,8,Q4 2024,4,2024,860,226,6,19770.48,2659.0,75232.8,10267.0
23,8,Q4 2024,4,2024,853,214,6,3954.72,2511.0,15763.44,10176.0
24,8,Q4 2024,4,2024,847,213,6,1993.68,2488.0,7927.92,10096.0
25,8,Q4 2024,4,2024,856,216,6,6791.04,2542.0,26912.64,10222.0
26,8,Q4 2024,4,2024,847,214,6,8782.56,2513.0,34760.88,10109.0
27,8,Q4 2024,4,2024,855,222,7,3569.76,2625.0,13748.4,10207.0
28,8,Q4 2024,4,2024,840,215,6,2193.0,2537.0,8568.0,10020.0
29,8,Q4 2024,4,2024,853,217,6,6692.28,2556.0,26306.52,10188.0
30,8,Q4 2024,4,2024,849,216,6,2099.52,2547.0,8252.28,10143.0
31,8,Q4 2024,4,2024,851,221,6,7425.6,2593.0,28593.6,10153.0
32,8,Q4 2024,4,2024,845,211,7,6608.52,2474.0,26465.4,10077.0
33,8,Q4 2024,4,2024,852,214,6,4391.28,2507.0,17483.04,10160.0
34,8,Q4 2024,4,2024,846,219,7,6412.32,2567.0,24770.88,10091.0
35,8,Q4 2024,4,2024,846,213,6,4242.96,2508.0,16852.32,10098.0
36,8,Q4 2024,4,2024,862,219,6,6386.04,2577.0,25135.92,10283.0
37,8,Q4 2024,4,2024,863,223,6,7198.44,2619.0,27857.64,10299.0
38,8,Q4 2024,4,2024,855,217,6,1926.96,2541.0,7592.4,10197.0
39,8,Q4 2024,4,2024,862,226,6,5315.52,2661.0,20274.24,10290.0
40,8,Q4 2024,4,2024,850,214,6,9347.52,2519.0,37128.0,10145.0
41,8,Q4 2024,4,2024,854,221,6,3765.84,2598.0,14552.16,10194.0
42,8,Q4 2024,4,2024,850,216,6,4587.84,2532.0,18054.0,10140.0
43,8,Q4 2024,4,2024,843,217,6,8254.68,2537.0,32067.72,10049.0
44,8,Q4 2024,4,2024,852,217,7,6249.6,2543.0,24537.6,10163.0
45,8,Q4 2024,4,2024,861,216,6,4717.44,2536.0,18804.24,10276.0
46,8,Q4 2024,4,2024,859,225,7,7965.0,2627.0,30408.6,10235.0
47,8,Q4 2024,4,2024,853,219,6,4625.28,2591.0,18015.36,10188.0
48,8,Q4 2024,4,2024,841,214,6,2978.88,2510.0,11706.72,10034.0
49,8,Q4 2024,4,2024,844,213,7,1712.52,2503.0,6785.76,10069.0
50,8,Q4 2024,4,2024,858,219,6,6648.84,2576.0,26048.88,10244.0
51,8,Q4 2024,4,2024,852,221,7,8459.88,2589.0,32614.56,10161.0
52,8,Q4 2024,4,2024,856,220,6,6943.2,2586.0,27015.36,10218.0
53,8,Q4 2024,4,2024,839,213,6,6543.36,2510.0,25774.08,10006.0
54,8,Q4 2024,4,2024,852,215,7,7378.8,2513.0,29240.64,10157.0
55,8,Q4 2024,4,2024,844,215,7,5056.8,2520.0,19850.88,10068.0
56,8,Q4 2024,4,2024,853,215,7,6450.0,2510.0,25590.0,10166.0
57,8,Q4 2024,4,2024,856,221,7,9573.72,2607.0,37081.92,10227.0
58,8,Q4 2024,4,2024,848,216,6,10031.04,2534.0,39381.12,10116.0
59,8,Q4 2024,4,2024,854,214,7,7524.24,2512.0,30026.64,10181.0
60,8,Q4 2024,4,2024,853,222,7,4129.2,2604.0,15865.8,10176.0
61,8,Q4 2024,4,2024,865,219,6,1445.4,2573.0,5709.0,10325.0
62,8,Q4 2024,4,2024,852,221,6,4163.64,2584.0,16051.68,10156.0
63,8,Q4 2024,4,2024,853,215,7,9236.4,2517.0,36644.88,10173.0
64,8,Q4 2024,4,2024,843,214,7,1592.16,2521.0,6271.92,10059.0
65,8,Q4 2024,4,2024,846,212,6,5622.24,2496.0,22435.92,10102.0
66,8,Q4 2024,4,2024,847,209,6,2207.04,2456.0,8944.32,10112.0
67,8,Q4 2024,4,2024,856,213,6,3578.4,2525.0,14380.8,10223.0
68,8,Q4 2024,4,2024,841,216,6,3576.96,2561.0,13926.96,10044.0
69,8,Q4 2024,4,2024,68,17,2,1629.96,213.0,6519.84,793.0
70,8,Q4 2024,4,2024,63,15,2,2698.2,176.0,11332.44,726.0
71,8,Q4 2024,4,2024,69,17,1,3465.96,210.0,14067.72,807.0
72,8,Q4 2024,4,2024,67,16,2,1534.08,193.0,6423.96,778.0
73,8,Q4 2024,4,2024,66,17,2,3057.96,195.0,11872.08,767.0
74,8,Q4 2024,4,2024,66,18,2,1725.84,212.0,6328.08,762.0
75,8,Q4 2024,4,2024,70,16,2,3262.08,190.0,14271.6,810.0
76,8,Q4 2024,4,2024,845,217,6,2057.16,2578.0,8010.6,10086.0
77,8,Q4 2024,4,2024,847,217,6,4114.32,2549.0,16059.12,10109.0
78,8,Q4 2024,4,2024,860,223,6,4575.96,2625.0,17647.2,10269.0
79,8,Q4 2024,4,2024,846,213,7,4626.36,2504.0,18375.12,10087.0
80,8,Q4 2024,4,2024,845,214,7,4802.16,2511.0,18961.8,10079.0
81,8,Q4 2024,4,2024,855,217,7,9504.6,2534.0,37449.0,10190.0
82,8,Q4 2024,4,2024,851,217,7,8957.76,2534.0,35129.28,10142.0
83,8,Q4 2024,4,2024,843,215,7,6424.2,2511.0,25188.84,10047.0
84,8,Q4 2024,4,2024,838,207,6,6210.0,2476.0,25140.0,10001.0
85,8,Q4 2024,4,2024,863,216,6,6480.0,2556.0,25890.0,10298.0
86,8,Q4 2024,4,2024,855,222,6,6660.0,2606.0,25650.0,10202.0
87,8,Q4 2024,4,2024,861,222,6,6660.0,2607.0,25830.0,10275.0
88,8,Q4 2024,4,2024,840,212,6,7632.0,2488.0,30240.0,10016.0
89,8,Q4 2024,4,2024,862,220,6,7920.0,2586.0,31032.0,10290.0
90,8,Q4 2024,4,2024,858,216,6,7776.0,2540.0,30888.0,10244.0
91,8,Q4 2024,4,2024,859,220,6,7920.0,2587.0,30924.0,10255.0
92,8,Q4 2024,4,2024,845,217,6,7812.0,2536.0,30420.0,10072.0
93,8,Q4 2024,4,2024,846,218,6,7848.0,2582.0,30456.0,10091.0
94,8,Q4 2024,4,2024,843,218,6,7848.0,2568.0,30348.0,10068.0
95,8,Q4 2024,4,2024,853,216,6,7776.0,2544.0,30708.0,10182.0
96,8,Q4 2024,4,2024,852,216,6,7776.0,2520.0,30672.0,10152.0
97,8,Q4 2024,4,2024,864,219,7,7884.0,2566.0,31104.0,10302.0
