ProductKey,StoreKey,QuarterAndYear,Quarter,Year,CasesPurchasedToDate,CasesPurchasedThisQuarter,CasesOnHand,TotalCostToStoreThisQuarter,TotalSoldByStoreThisQuarter,TotalCostToStoreThisYTD,TotalSoldByStoreThisYTD
1,8,Q3 2024,3,2024,634,214,2,6394.32,2604.0,18943.92,7605.0
2,8,Q3 2024,3,2024,630,207,3,4446.36,2500.0,13532.4,7546.0
3,8,Q3 2024,3,2024,633,213,2,10198.44,2599.0,30308.04,7596.0
4,8,Q3 2024,3,2024,644,212,2,10150.56,2582.0,30834.72,7728.0
5,8,Q3 2024,3,2024,643,215,2,7714.2,2595.0,23070.84,7708.0
6,8,Q3 2024,3,2024,629,212,3,5088.0,2572.0,15096.0,7545.0
7,8,Q3 2024,3,2024,632,211,3,29345.88,2557.0,87898.56,7577.0
8,8,Q3 2024,3,2024,637,209,2,12514.92,2539.0,38143.56,7644.0
9,8,Q3 2024,3,2024,624,213,3,9176.04,2579.0,26881.92,7486.0
10,8,Q3 2024,3,2024,633,213,3,12243.24,2568.0,36384.84,7586.0
11,8,Q3 2024,3,2024,92,30,1,2516.4,360.0,7716.96,1088.0
12,8,Q3 2024,3,2024,636,214,2,2568.0,2592.0,7632.0,7628.0
13,8,Q3 2024,3,2024,634,211,2,6304.68,2557.0,18943.92,7599.0
14,8,Q3 2024,3,2024,635,214,3,7678.32,2584.0,22783.8,7620.0
15,8,Q3 2024,3,2024,634,209,2,7498.92,2541.0,22747.92,7600.0
16,8,Q3 2024,3,2024,634,213,1,8920.44,2581.0,26551.92,7608.0
17,8,Q3 2024,3,2024,633,214,2,10246.32,2595.0,30308.04,7596.0
18,8,Q3 2024,3,2024,635,212,2,8878.56,2564.0,26593.8,7612.0
19,8,Q3 2024,3,2024,94,31,1,930.0,373.0,2820.0,1109.0
20,8,Q3 2024,3,2024,641,206,3,7391.28,2478.0,22999.08,7683.0
21,8,Q3 2024,3,2024,632,210,3,18370.8,2548.0,55287.36,7583.0
22,8,Q3 2024,3,2024,634,212,2,18545.76,2577.0,55462.32,7608.0
23,8,Q3 2024,3,2024,639,221,2,4084.08,2689.0,11808.72,7665.0
24,8,Q3 2024,3,2024,634,212,2,1984.32,2569.0,5934.24,7608.0
25,8,Q3 2024,3,2024,640,212,3,6665.28,2587.0,20121.6,7680.0
26,8,Q3 2024,3,2024,633,213,2,8741.52,2581.0,25978.32,7596.0
27,8,Q3 2024,3,2024,633,209,2,3360.72,2531.0,10178.64,7582.0
28,8,Q3 2024,3,2024,625,210,3,2142.0,2547.0,6375.0,7483.0
29,8,Q3 2024,3,2024,636,215,1,6630.6,2592.0,19614.24,7632.0
30,8,Q3 2024,3,2024,633,206,2,2002.32,2519.0,6152.76,7596.0
31,8,Q3 2024,3,2024,630,207,2,6955.2,2518.0,21168.0,7560.0
32,8,Q3 2024,3,2024,634,213,3,6671.16,2576.0,19856.88,7603.0
33,8,Q3 2024,3,2024,638,214,3,4391.28,2610.0,13091.76,7653.0
34,8,Q3 2024,3,2024,627,210,2,6148.8,2543.0,18358.56,7524.0
35,8,Q3 2024,3,2024,633,211,4,4203.12,2560.0,12609.36,7590.0
36,8,Q3 2024,3,2024,643,212,3,6181.92,2571.0,18749.88,7706.0
37,8,Q3 2024,3,2024,640,219,2,7069.32,2658.0,20659.2,7680.0
38,8,Q3 2024,3,2024,638,210,1,1864.8,2573.0,5665.44,7656.0
39,8,Q3 2024,3,2024,636,208,3,4892.16,2536.0,14958.72,7629.0
40,8,Q3 2024,3,2024,636,208,2,9085.44,2516.0,27780.48,7626.0
41,8,Q3 2024,3,2024,633,208,1,3544.32,2549.0,10786.32,7596.0
42,8,Q3 2024,3,2024,634,207,1,4396.68,2516.0,13466.16,7608.0
43,8,Q3 2024,3,2024,626,209,2,7950.36,2532.0,23813.04,7512.0
44,8,Q3 2024,3,2024,635,205,2,5904.0,2495.0,18288.0,7620.0
45,8,Q3 2024,3,2024,645,210,2,4586.4,2543.0,14086.8,7740.0
46,8,Q3 2024,3,2024,634,210,1,7434.0,2541.0,22443.6,7608.0
47,8,Q3 2024,3,2024,634,215,3,4540.8,2600.0,13390.08,7597.0
48,8,Q3 2024,3,2024,627,200,1,2784.0,2440.0,8727.84,7524.0
49,8,Q3 2024,3,2024,631,211,2,1696.44,2557.0,5073.24,7566.0
50,8,Q3 2024,3,2024,639,210,2,6375.6,2558.0,19400.04,7668.0
51,8,Q3 2024,3,2024,631,211,2,8077.08,2551.0,24154.68,7572.0
52,8,Q3 2024,3,2024,636,213,2,6722.28,2578.0,20072.16,7632.0
53,8,Q3 2024,3,2024,626,206,3,6328.32,2491.0,19230.72,7496.0
54,8,Q3 2024,3,2024,637,211,0,7241.52,2580.0,21861.84,7644.0
55,8,Q3 2024,3,2024,629,210,1,4939.2,2550.0,14794.08,7548.0
56,8,Q3 2024,3,2024,638,209,0,6270.0,2536.0,19140.0,7656.0
57,8,Q3 2024,3,2024,635,213,2,9227.16,2599.0,27508.2,7620.0
58,8,Q3 2024,3,2024,632,208,2,9659.52,2531.0,29350.08,7582.0
59,8,Q3 2024,3,2024,640,210,3,7383.6,2534.0,22502.4,7669.0
60,8,Q3 2024,3,2024,631,209,1,3887.4,2534.0,11736.6,7572.0
61,8,Q3 2024,3,2024,646,216,1,1425.6,2626.0,4263.6,7752.0
62,8,Q3 2024,3,2024,631,203,1,3824.52,2472.0,11888.04,7572.0
63,8,Q3 2024,3,2024,638,210,2,9021.6,2542.0,27408.48,7656.0
64,8,Q3 2024,3,2024,629,209,3,1554.96,2520.0,4679.76,7538.0
65,8,Q3 2024,3,2024,634,212,2,5622.24,2573.0,16813.68,7606.0
66,8,Q3 2024,3,2024,638,213,3,2249.28,2584.0,6737.28,7656.0
67,8,Q3 2024,3,2024,643,212,3,3561.6,2561.0,10802.4,7698.0
68,8,Q3 2024,3,2024,625,205,3,3394.8,2470.0,10350.0,7483.0
69,8,Q3 2024,3,2024,51,17,2,1629.96,192.0,4889.88,580.0
70,8,Q3 2024,3,2024,48,14,2,2518.32,172.0,8634.24,550.0
71,8,Q3 2024,3,2024,52,17,2,3465.96,195.0,10601.76,597.0
72,8,Q3 2024,3,2024,51,17,2,1629.96,205.0,4889.88,585.0
73,8,Q3 2024,3,2024,49,16,1,2878.08,207.0,8814.12,572.0
74,8,Q3 2024,3,2024,48,16,2,1534.08,192.0,4602.24,550.0
75,8,Q3 2024,3,2024,54,17,2,3465.96,194.0,11009.52,620.0
76,8,Q3 2024,3,2024,628,206,4,1952.88,2486.0,5953.44,7508.0
77,8,Q3 2024,3,2024,630,208,2,3943.68,2523.0,11944.8,7560.0
78,8,Q3 2024,3,2024,637,213,3,4370.76,2601.0,13071.24,7644.0
79,8,Q3 2024,3,2024,633,211,2,4582.92,2550.0,13748.76,7583.0
80,8,Q3 2024,3,2024,631,213,2,4779.72,2583.0,14159.64,7568.0
81,8,Q3 2024,3,2024,638,207,2,9066.6,2504.0,27944.4,7656.0
